Linux 2.6.18-164.el5 (peglinux1) 	06/05/2010

Time: 07:10:08 PM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           1.10    0.01    9.87    2.49    0.00   86.53

Device:         rrqm/s   wrqm/s   r/s   w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sdad3             0.00     0.00  0.13  4.37     1.00    61.40    13.87     0.00    0.47   0.45   0.20
sdae              0.00     0.00  0.20  4.87     1.87    68.93    13.97     0.00    0.66   0.65   0.33
sdae3             0.00     0.00  0.20  4.87     1.87    68.93    13.97     0.00    0.66   0.65   0.33
sdaf              0.00     0.03  0.17  3.90     0.53    62.33    15.46     0.00    0.79   0.60   0.24
sdaf3             0.00     0.03  0.17  3.90     0.53    62.33    15.46     0.00    0.79   0.60   0.24
sdag              0.00     0.00  0.57  4.30    11.13    67.47    16.15     0.01    1.14   0.87   0.42
sdag3             0.00     0.00  0.57  4.30    11.13    67.47    16.15     0.01    1.14   0.87   0.42
sdah              0.00     0.00  0.30  5.60     4.53    50.40     9.31     0.00    0.55   0.46   0.27
sdah3             0.00     0.00  0.30  5.60     4.53    50.40     9.31     0.00    0.55   0.46   0.27
sdai              0.00     0.00  0.30  5.30     1.27    48.13     8.82     0.00    0.54   0.52   0.29
sdai3             0.00     0.00  0.30  5.30     1.27    48.13     8.82     0.00    0.54   0.52   0.29
sdaj              0.00     0.00  0.17  5.73     2.13    58.07    10.20     0.00    0.32   0.28   0.17
sdaj3             0.00     0.00  0.17  5.73     2.13    58.07    10.20     0.00    0.32   0.28   0.17
sdak              0.00     0.00  0.27  5.63     2.27    57.20    10.08     0.00    0.83   0.83   0.49
sdak3             0.00     0.00  0.27  5.63     2.27    57.20    10.08     0.00    0.83   0.83   0.49
sdal              0.00     0.00  0.23  5.43     1.40    58.13    10.51     0.00    0.87   0.81   0.46
sdal3             0.00     0.00  0.23  5.43     1.40    58.13    10.51     0.00    0.87   0.81   0.46
sdam              0.00     0.00  0.30  7.27     8.00    73.20    10.73     0.00    0.36   0.30   0.23
sdam3             0.00     0.00  0.30  7.27     8.00    73.20    10.73     0.00    0.36   0.30   0.23
sdan              0.00     0.00  0.57  5.70    10.00    58.27    10.89     0.00    0.72   0.56   0.35
sdan3             0.00     0.00  0.57  5.70    10.00    58.27    10.89     0.00    0.72   0.56   0.35
sdao              0.00     0.03  0.37  6.07     3.67    62.33    10.26     0.00    0.66   0.58   0.37
sdao3             0.00     0.03  0.37  6.07     3.67    62.33    10.26     0.00    0.66   0.58   0.37
sdap              0.00     0.00  0.37  5.07     8.67    48.80    10.58     0.00    0.85   0.72   0.39
sdap3             0.00     0.00  0.37  5.07     8.67    48.80    10.58     0.00    0.85   0.72   0.39
sdaq              0.00     0.00  0.47  5.03     9.27    46.13    10.07     0.01    1.27   0.87   0.48
sdaq3             0.00     0.00  0.47  5.03     9.27    46.13    10.07     0.01    1.27   0.87   0.48
sdar              0.00     0.00  0.27  3.53     3.20    47.33    13.30     0.00    0.70   0.56   0.21
sdar3             0.00     0.00  0.27  3.53     3.20    47.33    13.30     0.00    0.70   0.56   0.21
sdas              0.00     0.00  0.53  3.30     7.53    43.40    13.29     0.01    2.50   1.13   0.43
sdas3             0.00     0.00  0.53  3.30     7.53    43.40    13.29     0.01    2.50   1.13   0.43
sdat              0.00     0.00  0.23  4.20     4.00    58.80    14.17     0.00    0.72   0.68   0.30
sdat3             0.00     0.00  0.23  4.20     4.00    58.80    14.17     0.00    0.72   0.68   0.30
