Linux 2.6.18-164.el5 (peglinux1) 	06/05/2010

Time: 07:10:08 PM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           1.10    0.01    9.87    2.49    0.00   86.53

Device:         rrqm/s   wrqm/s   r/s   w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sds               0.00     0.00  0.07  4.27     1.07    42.23     9.99     0.00    0.58   0.58   0.25
sds3              0.00     0.00  0.07  4.27     1.07    42.23     9.99     0.00    0.58   0.58   0.25
sdt               0.00     0.00  0.43  3.87     8.53    49.87    13.58     0.00    0.66   0.45   0.19
sdt3              0.00     0.00  0.43  3.87     8.53    49.87    13.58     0.00    0.66   0.45   0.19
sdu               0.00     0.00  0.23  2.87     2.00    40.80    13.81     0.00    0.67   0.65   0.20
sdu3              0.00     0.00  0.23  2.87     2.00    40.80    13.81     0.00    0.67   0.65   0.20
sdv               0.00     0.00  0.13  3.37     1.67    43.87    13.01     0.00    0.54   0.39   0.14
sdv3              0.00     0.00  0.13  3.37     1.67    43.87    13.01     0.00    0.54   0.39   0.14
sdw               0.00     0.00  0.13  4.93     1.73    65.80    13.33     0.00    0.91   0.87   0.44
sdw3              0.00     0.00  0.13  4.93     1.73    65.80    13.33     0.00    0.91   0.87   0.44
sdx               0.00     0.00  0.17  6.13     1.93    71.67    11.68     0.00    0.71   0.66   0.42
sdx3              0.00     0.00  0.17  6.13     1.93    71.67    11.68     0.00    0.71   0.66   0.42
sdy               0.00     0.00  0.23  5.33     2.87    55.00    10.40     0.00    0.60   0.45   0.25
sdy3              0.00     0.00  0.23  5.33     2.87    55.00    10.40     0.00    0.60   0.45   0.25
sdz               0.00     0.00  0.10  5.07     1.60    56.80    11.30     0.00    0.64   0.63   0.33
sdz3              0.00     0.00  0.10  5.07     1.60    56.80    11.30     0.00    0.64   0.63   0.33
sdaa              0.00     0.00  0.17  4.23     1.20    40.27     9.42     0.00    0.54   0.52   0.23
sdaa3             0.00     0.00  0.17  4.23     1.20    40.27     9.42     0.00    0.54   0.52   0.23
sdab              0.00     0.00  0.10  5.03     0.27    47.00     9.21     0.00    0.71   0.59   0.30
sdab3             0.00     0.00  0.10  5.03     0.27    47.00     9.21     0.00    0.71   0.59   0.30
sdac              0.00     0.00  0.13  5.07     1.47    44.53     8.85     0.00    0.33   0.31   0.16
sdac3             0.00     0.00  0.13  5.07     1.47    44.53     8.85     0.00    0.33   0.31   0.16
sdad              0.00     0.00  0.07  5.30     1.07    53.73    10.21     0.00    0.33   0.29   0.15
sdad3             0.00     0.00  0.07  5.30     1.07    53.73    10.21     0.00    0.33   0.29   0.15
sdae              0.00     0.00  0.07  5.47     0.67    54.27     9.93     0.00    0.23   0.23   0.13
sdae3             0.00     0.00  0.07  5.47     0.67    54.27     9.93     0.00    0.23   0.23   0.13
sdaf              0.00     0.00  0.13  6.13     4.27    57.87     9.91     0.00    0.37   0.31   0.20
sdaf3             0.00     0.00  0.13  6.13     4.27    57.87     9.91     0.00    0.37   0.31   0.20
sdag              0.00     0.00  0.17  6.17     0.93    66.53    10.65     0.00    0.65   0.64   0.41
sdag3             0.00     0.00  0.17  6.17     0.93    66.53    10.65     0.00    0.65   0.64   0.41
sdah              0.00     0.00  0.13  4.93     0.93    41.87     8.45     0.00    0.34   0.32   0.16
sdah3             0.00     0.00  0.13  4.93     0.93    41.87     8.45     0.00    0.34   0.32   0.16
sdai              0.00     0.00  0.10  2.23     1.07    34.93    15.43     0.00    0.97   0.97   0.23
sdai3             0.00     0.00  0.10  2.23     1.07    34.93    15.43     0.00    0.97   0.97   0.23
sdaj              0.00     0.00  0.27  3.20     6.00    44.00    14.42     0.00    1.22   0.83   0.29
sdaj3             0.00     0.00  0.27  3.20     6.00    44.00    14.42     0.00    1.22   0.83   0.29
sdak              0.00     0.00  0.30  3.50     4.73    46.87    13.58     0.00    0.88   0.65   0.25
sdak3             0.00     0.00  0.30  3.50     4.73    46.87    13.58     0.00    0.88   0.65   0.25
sdal              0.00     0.00  0.13  3.47     2.20    49.07    14.24     0.00    0.67   0.56   0.20
sdal3             0.00     0.00  0.13  3.47     2.20    49.07    14.24     0.00    0.67   0.56   0.20
sdam              0.00     0.00  0.07  5.07     0.67    71.73    14.10     0.00    0.47   0.42   0.21
sdam3             0.00     0.00  0.07  5.07     0.67    71.73    14.10     0.00    0.47   0.42   0.21
sdan              0.00     0.00  0.23  5.60     1.33    65.13    11.39     0.00    0.79   0.77   0.45
sdan3             0.00     0.00  0.23  5.60     1.33    65.13    11.39     0.00    0.79   0.77   0.45
sdao              0.00     0.00  0.27  6.20     2.53    65.07    10.45     0.00    0.53   0.51   0.33
sdao3             0.00     0.00  0.27  6.20     2.53    65.07    10.45     0.00    0.53   0.51   0.33
sdap              0.00     0.00  0.23  4.83     2.40    47.93     9.93     0.00    0.53   0.49   0.25
sdap3             0.00     0.00  0.23  4.83     2.40    47.93     9.93     0.00    0.53   0.49   0.25
sdaq              0.00     0.00  0.23  5.27     1.47    47.53     8.91     0.00    0.75   0.64   0.35
sdaq3             0.00     0.00  0.23  5.27     1.47    47.53     8.91     0.00    0.75   0.64   0.35
sdar              0.00     0.00  0.20  5.60     0.67    53.60     9.36     0.00    0.48   0.45   0.26
sdar3             0.00     0.00  0.20  5.60     0.67    53.60     9.36     0.00    0.48   0.45   0.26
sdas              0.00     0.00  0.03  5.03     0.13    47.33     9.37     0.00    0.45   0.42   0.21
sdas3             0.00     0.00  0.03  5.03     0.13    47.33     9.37     0.00    0.45   0.42   0.21
sdat              0.00     0.00  0.10  5.43     2.20    50.27     9.48     0.00    0.60   0.57   0.31
sdat3             0.00     0.00  0.10  5.43     2.20    50.27     9.48     0.00    0.60   0.57   0.31
sdau              0.00     0.00  0.13  4.93     0.73    56.73    11.34     0.00    0.51   0.50   0.25
sdau3             0.00     0.00  0.13  4.93     0.73    56.73    11.34     0.00    0.51   0.50   0.25
sdav              0.00     0.00  0.10  6.00     1.73    60.67    10.23     0.00    0.50   0.47   0.29
sdav3             0.00     0.00  0.10  6.00     1.73    60.67    10.23     0.00    0.50   0.47   0.29
sdaw              0.00     0.00  0.17  6.20     1.13    60.00     9.60     0.00    0.59   0.57   0.36
sdaw3             0.00     0.00  0.17  6.20     1.13    60.00     9.60     0.00    0.59   0.57   0.36
sdax              0.00     0.00  0.10  4.90     0.67    52.13    10.56     0.00    0.41   0.38   0.19
sdax3             0.00     0.00  0.10  4.90     0.67    52.13    10.56     0.00    0.41   0.38   0.19
sday              0.00     0.00  0.43  3.33     9.80    42.07    13.77     0.00    0.98   0.73   0.28
sday3             0.00     0.00  0.43  3.33     9.80    42.07    13.77     0.00    0.98   0.73   0.28
sdaz              0.00     0.03  0.47  3.43     7.80    45.20    13.59     0.01    1.62   1.33   0.52
sdaz3             0.00     0.03  0.47  3.43     7.80    45.20    13.59     0.01    1.62   1.33   0.52
sdba              0.00     0.00  0.27  2.93     3.13    45.07    15.06     0.00    0.91   0.81   0.26
sdba3             0.00     0.00  0.27  2.93     3.13    45.07    15.06     0.00    0.91   0.80   0.26
sdbb              0.00     0.00  0.03  4.77     0.27    77.00    16.10     0.00    0.42   0.42   0.20
sdbb3             0.00     0.00  0.03  4.77     0.27    77.00    16.10     0.00    0.42   0.42   0.20
sdbc              0.00     0.00  0.17  3.53     2.00    56.00    15.68     0.00    0.63   0.59   0.22
sdbc3             0.00     0.00  0.17  3.53     2.00    56.00    15.68     0.00    0.63   0.59   0.22
sdbd              0.00     0.00  0.17  6.20     1.53    58.60     9.45     0.00    0.36   0.34   0.22
sdbd3             0.00     0.00  0.17  6.20     1.53    58.60     9.45     0.00    0.36   0.34   0.22
sdbe              0.00     0.00  0.10  6.17     1.33    63.60    10.36     0.00    0.54   0.51   0.32
sdbe3             0.00     0.00  0.10  6.17     1.33    63.60    10.36     0.00    0.54   0.51   0.32
sdbf              0.00     0.00  0.03  5.00     0.13    58.13    11.58     0.00    0.36   0.35   0.18
sdbf3             0.00     0.00  0.03  5.00     0.13    58.13    11.58     0.00    0.36   0.35   0.18
sdbg              0.00     0.00  0.20  4.93     2.80    39.80     8.30     0.00    0.82   0.80   0.41
sdbg3             0.00     0.00  0.20  4.93     2.80    39.80     8.30     0.00    0.82   0.80   0.41
sdbh              0.00     0.00  0.07  4.73     1.60    48.80    10.50     0.00    0.31   0.31   0.15
sdbh3             0.00     0.00  0.07  4.73     1.60    48.80    10.50     0.00    0.31   0.31   0.15
sdbi              0.00     0.00  0.13  5.13     1.27    44.87     8.76     0.00    0.42   0.40   0.21
sdbi3             0.00     0.00  0.13  5.13     1.27    44.87     8.76     0.00    0.42   0.40   0.21
sdbj              0.00     0.00  0.17  4.53     1.40    44.20     9.70     0.00    0.72   0.70   0.33
sdbj3             0.00     0.00  0.17  4.53     1.40    44.20     9.70     0.00    0.72   0.70   0.33
sdbk              0.00     0.00  0.20  5.07     5.60    53.73    11.27     0.00    0.60   0.47   0.25
sdbk3             0.00     0.00  0.20  5.07     5.60    53.73    11.27     0.00    0.60   0.47   0.25
sdbl              0.00     0.00  0.33  5.87     5.80    53.67     9.59     0.00    0.45   0.42   0.26
sdbl3             0.00     0.00  0.33  5.87     5.80    53.67     9.59     0.00    0.45   0.42   0.26
sdbm              0.00     0.00  0.10  5.73     0.93    55.33     9.65     0.00    0.41   0.39   0.23
sdbm3             0.00     0.00  0.10  5.73     0.93    55.33     9.65     0.00    0.41   0.39   0.23
sdbn              0.00     0.00  0.07  4.70     0.60    41.87     8.91     0.00    0.27   0.27   0.13
sdbn3             0.00     0.00  0.07  4.70     0.60    41.87     8.91     0.00    0.27   0.27   0.13
sdbo              0.00     0.00  0.20  2.80     6.53    46.53    17.69     0.00    0.69   0.62   0.19
sdbo3             0.00     0.00  0.20  2.80     6.53    46.53    17.69     0.00    0.69   0.62   0.19
sdbp              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdbq              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdbr              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdbs              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdbt              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdbu              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdbv              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdbw              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdbx              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdby              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdbz              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdca              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdcb              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdcc              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdcd              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-0              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
VxVM10            0.03     0.00 11.10 307.47   145.53  3368.53    11.03     0.20    0.62   0.38  12.18

Time: 07:14:38 PM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           0.02    0.00    2.63    1.23    0.00   96.12

Device:         rrqm/s   wrqm/s   r/s   w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sda1              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sda2              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sda3              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sda4              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sda5              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sda6              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sda7              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sda8              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdb               0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdb1              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdb2              0.00     0.00  0.00  0.00     0.00     0.00     0.00 614891469123650.75    0.00   0.00 100.00
sdb3              0.00     0.00  0.00  0.00     0.00     0.00     0.00     1.00    0.00   0.00 100.00
sdc               0.00     6.03  0.00  1.43     0.00    59.73    41.67     0.02   15.67   4.37   0.63
sdc1              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdc2              0.00     0.70  0.00  0.43     0.00     9.07    20.92     0.01   13.00   6.00   0.26
sdc3              0.00     5.33  0.00  1.00     0.00    50.67    50.67     0.02   16.83   3.67   0.37
sdc4              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdc5              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdd               0.00     0.00  0.37  6.20    11.20    52.13     9.64     0.00    0.56   0.51   0.34
sdd3              0.00     0.00  0.37  6.20    11.20    52.13     9.64     0.00    0.56   0.51   0.33
sde               0.00     0.00  0.47  5.10     8.53    46.33     9.86     0.01    1.17   0.76   0.42
sde3              0.00     0.00  0.47  5.10     8.53    46.33     9.86     0.01    1.17   0.76   0.42
sdf               0.00     0.00  0.10  4.97     4.80    47.13    10.25     0.00    0.54   0.45   0.23
sdf3              0.00     0.00  0.10  4.97     4.80    47.13    10.25     0.00    0.54   0.45   0.23
sdg               0.00     0.00  0.03  5.10     0.53    45.20     8.91     0.00    0.84   0.80   0.41
sdg3              0.00     0.00  0.03  5.10     0.53    45.20     8.91     0.00    0.84   0.80   0.41
sdh               0.00     0.00  0.20  5.40     2.93    44.13     8.40     0.00    0.60   0.54   0.30
sdh3              0.00     0.00  0.20  5.40     2.93    44.13     8.40     0.00    0.60   0.54   0.30
sdi               0.00     0.00  0.37  6.30     3.20    60.47     9.55     0.01    0.75   0.68   0.45
sdi3              0.00     0.00  0.37  6.30     3.20    60.47     9.55     0.01    0.75   0.68   0.45
sdj               0.00     0.00  0.10  5.10     4.80    43.20     9.23     0.00    0.52   0.42   0.22
sdj3              0.00     0.00  0.10  5.10     4.80    43.20     9.23     0.00    0.52   0.42   0.22
sdk               0.00     0.00  0.40  6.17     9.33    55.13     9.82     0.00    0.73   0.50   0.33
sdk3              0.00     0.00  0.40  6.17     9.33    55.13     9.82     0.00    0.73   0.50   0.33
sdl               0.00     0.00  0.33  4.77     3.33    35.67     7.65     0.00    0.56   0.50   0.25
sdl3              0.00     0.00  0.33  4.77     3.33    35.67     7.65     0.00    0.56   0.50   0.25
sdm               0.00     0.00  0.30  2.97     5.20    38.00    13.22     0.00    1.15   0.91   0.30
sdm3              0.00     0.00  0.30  2.97     5.20    38.00    13.22     0.00    1.15   0.91   0.30
sdn               0.00     0.00  0.33  2.97     8.87    37.40    14.02     0.00    0.87   0.56   0.18
sdn3              0.00     0.00  0.33  2.97     8.87    37.40    14.02     0.00    0.87   0.56   0.18
sdo               0.00     0.00  0.17  3.80     1.33    48.27    12.50     0.00    0.53   0.53   0.21
sdo3              0.00     0.00  0.17  3.80     1.33    48.27    12.50     0.00    0.53   0.53   0.21
sdp               0.00     0.00  0.20  3.53     2.47    45.20    12.77     0.00    0.56   0.50   0.19
sdp3              0.00     0.00  0.20  3.53     2.47    45.20    12.77     0.00    0.56   0.50   0.19
sdq               0.00     0.03  0.47  3.17    10.27    47.80    15.98     0.00    1.14   0.84   0.31
sdq3              0.00     0.03  0.47  3.17    10.27    47.80    15.98     0.00    1.14   0.84   0.31
sdr               0.00     0.00  0.33  2.50     9.47    33.00    14.99     0.00    0.76   0.64   0.18
sdr3              0.00     0.00  0.33  2.50     9.47    33.00    14.99     0.00    0.76   0.64   0.18
sds               0.00     0.00  0.00  2.87     0.00    37.70    13.15     0.00    0.40   0.37   0.11
sds3              0.00     0.00  0.00  2.87     0.00    37.70    13.15     0.00    0.40   0.37   0.11
sdt               0.00     0.00  0.43  4.97    13.93    43.33    10.60     0.01    2.16   1.05   0.57
sdt3              0.00     0.00  0.43  4.97    13.93    43.33    10.60     0.01    2.16   1.05   0.57
sdu               0.00     0.00  0.33  4.47     9.33    41.07    10.50     0.00    1.01   0.81   0.39
sdu3              0.00     0.00  0.33  4.47     9.33    41.07    10.50     0.00    1.01   0.81   0.39
sdv               0.00     0.00  0.03  4.77     0.13    40.60     8.49     0.00    0.72   0.48   0.23
sdv3              0.00     0.00  0.03  4.77     0.13    40.60     8.49     0.00    0.72   0.48   0.23
sdw               0.00     0.00  0.13  4.97     1.20    41.93     8.46     0.01    1.13   1.03   0.53
sdw3              0.00     0.00  0.13  4.97     1.20    41.93     8.46     0.01    1.13   1.04   0.53
sdx               0.00     0.00  0.20  6.63     4.47    62.33     9.78     0.00    0.47   0.40   0.27
sdx3              0.00     0.00  0.20  6.63     4.47    62.33     9.78     0.00    0.47   0.40   0.27
sdy               0.00     0.00  0.23  5.47     4.00    52.53     9.92     0.01    1.87   1.02   0.58
sdy3              0.00     0.00  0.23  5.47     4.00    52.53     9.92     0.01    1.87   1.02   0.58
sdz               0.00     0.00  0.10  4.53     1.13    36.13     8.04     0.00    0.76   0.64   0.30
sdz3              0.00     0.00  0.10  4.53     1.13    36.13     8.04     0.00    0.76   0.64   0.30
sdaa              0.00     0.00  0.20  5.50     8.67    39.87     8.51     0.01    1.31   0.60   0.34
sdaa3             0.00     0.00  0.20  5.50     8.67    39.87     8.51     0.01    1.31   0.60   0.34
sdab              0.00     0.00  0.20  4.33     3.27    39.53     9.44     0.01    1.12   0.90   0.41
sdab3             0.00     0.00  0.20  4.33     3.27    39.53     9.44     0.01    1.12   0.90   0.41
sdac              0.00     0.00  0.30  2.90     6.73    40.53    14.77     0.00    1.52   1.01   0.32
sdac3             0.00     0.00  0.30  2.90     6.73    40.53    14.77     0.00    1.52   1.01   0.32
sdad              0.00     0.00  0.10  3.00     1.67    39.53    13.29     0.00    0.53   0.46   0.14
sdad3             0.00     0.00  0.10  3.00     1.67    39.53    13.29     0.00    0.53   0.46   0.14
sdae              0.00     0.00  0.27  4.20     3.80    49.13    11.85     0.01    1.50   1.11   0.50
sdae3             0.00     0.00  0.27  4.20     3.80    49.13    11.85     0.01    1.50   1.11   0.50
sdaf              0.00     0.00  0.20  4.10     1.80    52.87    12.71     0.00    1.02   0.86   0.37
sdaf3             0.00     0.00  0.20  4.10     1.80    52.87    12.71     0.00    1.02   0.86   0.37
sdag              0.00     0.00  0.30  3.30     9.27    46.80    15.57     0.00    1.34   1.00   0.36
sdag3             0.00     0.00  0.30  3.30     9.27    46.80    15.57     0.00    1.34   1.00   0.36
sdah              0.00     0.00  0.20  2.43     8.60    33.87    16.13     0.00    0.68   0.57   0.15
sdah3             0.00     0.00  0.20  2.43     8.60    33.87    16.13     0.00    0.68   0.57   0.15
sdai              0.00     0.00  0.00  5.07     0.00    43.33     8.55     0.00    0.60   0.45   0.23
sdai3             0.00     0.00  0.00  5.07     0.00    43.33     8.55     0.00    0.60   0.45   0.23
sdaj              0.00     0.00  0.40  4.10     9.20    34.33     9.67     0.00    1.01   0.95   0.43
sdaj3             0.00     0.00  0.40  4.10     9.20    34.33     9.67     0.00    1.01   0.95   0.43
sdak              0.00     0.00  0.43  4.70    13.20    40.27    10.42     0.01    1.79   1.31   0.67
sdak3             0.00     0.00  0.43  4.70    13.20    40.27    10.42     0.01    1.79   1.31   0.67
sdal              0.00     0.00  0.17  4.70     1.00    42.73     8.99     0.00    0.46   0.45   0.22
sdal3             0.00     0.00  0.17  4.70     1.00    42.73     8.99     0.00    0.46   0.45   0.22
sdam              0.00     0.00  0.23  5.20     4.67    48.00     9.69     0.00    0.72   0.66   0.36
sdam3             0.00     0.00  0.23  5.20     4.67    48.00     9.69     0.00    0.72   0.66   0.36
sdan              0.00     0.00  0.27  5.77     9.60    54.20    10.57     0.00    0.66   0.52   0.31
sdan3             0.00     0.00  0.27  5.77     9.60    54.20    10.57     0.00    0.66   0.52   0.31
sdao              0.00     0.00  0.20  5.57     1.80    53.40     9.57     0.00    0.43   0.39   0.23
sdao3             0.00     0.00  0.20  5.57     1.80    53.40     9.57     0.00    0.43   0.39   0.23
sdap              0.00     0.00  0.17  5.00     4.80    40.60     8.79     0.00    0.32   0.26   0.13
sdap3             0.00     0.00  0.17  5.00     4.80    40.60     8.79     0.00    0.32   0.26   0.13
sdaq              0.00     0.00  0.40  5.23     8.53    50.60    10.50     0.00    0.58   0.51   0.29
sdaq3             0.00     0.00  0.40  5.23     8.53    50.60    10.50     0.00    0.58   0.51   0.29
sdar              0.00     0.00  0.27  4.50     2.67    37.40     8.41     0.00    0.66   0.64   0.30
sdar3             0.00     0.00  0.27  4.50     2.67    37.40     8.41     0.00    0.66   0.64   0.30
sdas              0.00     0.00  0.23  1.97     5.60    26.53    14.61     0.00    1.41   1.15   0.25
sdas3             0.00     0.00  0.23  1.97     5.60    26.53    14.61     0.00    1.41   1.15   0.25
sdat              0.00     0.00  0.13  4.07     2.67    56.60    14.11     0.00    0.77   0.56   0.24
sdat3             0.00     0.00  0.13  4.07     2.67    56.60    14.11     0.00    0.77   0.56   0.24
sdau              0.00     0.00  0.37  3.57     5.40    47.80    13.53     0.00    0.70   0.50   0.20
sdau3             0.00     0.00  0.37  3.57     5.40    47.80    13.53     0.00    0.70   0.50   0.20
sdav              0.00     0.00  0.17  4.07     1.00    56.53    13.59     0.00    0.99   0.85   0.36
sdav3             0.00     0.00  0.17  4.07     1.00    56.53    13.59     0.00    0.99   0.85   0.36
sdaw              0.00     0.00  0.20  3.37     6.00    45.33    14.39     0.00    1.18   0.88   0.31
sdaw3             0.00     0.00  0.20  3.37     6.00    45.33    14.39     0.00    1.18   0.88   0.31
sdax              0.00     0.00  0.17  1.90     6.47    24.47    14.97     0.00    0.66   0.56   0.12
sdax3             0.00     0.00  0.17  1.90     6.47    24.47    14.97     0.00    0.66   0.56   0.12
sday              0.00     0.00  0.13  4.87     1.60    41.87     8.69     0.00    0.47   0.46   0.23
sday3             0.00     0.00  0.13  4.87     1.60    41.87     8.69     0.00    0.47   0.46   0.23
sdaz              0.03     0.00  0.27  4.57     6.93    42.47    10.22     0.01    1.06   0.76   0.37
sdaz3             0.03     0.00  0.27  4.57     6.93    42.47    10.22     0.01    1.06   0.76   0.37
sdba              0.00     0.00  0.47  5.20    16.67    44.07    10.72     0.01    1.13   0.77   0.44
sdba3             0.00     0.00  0.47  5.20    16.67    44.07    10.72     0.01    1.13   0.77   0.44
sdbb              0.00     0.00  0.23  4.63     3.47    36.93     8.30     0.00    0.89   0.65   0.32
sdbb3             0.00     0.00  0.23  4.63     3.47    36.93     8.30     0.00    0.89   0.65   0.32
sdbc              0.00     0.00  0.30  5.13     8.53    47.67    10.34     0.01    0.98   0.83   0.45
sdbc3             0.00     0.00  0.30  5.13     8.53    47.67    10.34     0.01    0.98   0.83   0.45
sdbd              0.00     0.00  0.43  6.03     9.53    57.27    10.33     0.01    0.92   0.72   0.47
sdbd3             0.00     0.00  0.43  6.03     9.53    57.27    10.33     0.01    0.92   0.72   0.47
sdbe              0.00     0.00  0.10  5.07     0.87    50.53     9.95     0.00    0.77   0.66   0.34
sdbe3             0.00     0.00  0.10  5.07     0.87    50.53     9.95     0.00    0.77   0.66   0.34
sdbf              0.00     0.00  0.13  5.40     2.20    46.47     8.80     0.00    0.61   0.57   0.31
sdbf3             0.00     0.00  0.13  5.40     2.20    46.47     8.80     0.00    0.61   0.57   0.31
sdbg              0.00     0.00  0.30  5.60     7.80    52.00    10.14     0.00    0.58   0.49   0.29
sdbg3             0.00     0.00  0.30  5.60     7.80    52.00    10.14     0.00    0.58   0.48   0.28
sdbh              0.00     0.00  0.03  3.67     0.13    34.90     9.47     0.00    0.69   0.54   0.20
sdbh3             0.00     0.00  0.03  3.67     0.13    34.90     9.47     0.00    0.69   0.54   0.20
sdbi              0.00     0.00  0.13  2.27     4.93    36.60    17.31     0.00    0.79   0.71   0.17
sdbi3             0.00     0.00  0.13  2.27     4.93    36.60    17.31     0.00    0.79   0.71   0.17
sdbj              0.00     0.00  0.17  3.00     2.60    42.73    14.32     0.00    0.75   0.65   0.21
sdbj3             0.00     0.00  0.17  3.00     2.60    42.73    14.32     0.00    0.75   0.65   0.21
sdbk              0.00     0.00  0.10  3.40     0.67    48.93    14.17     0.00    1.40   1.07   0.37
sdbk3             0.00     0.00  0.10  3.40     0.67    48.93    14.17     0.00    1.40   1.07   0.37
sdbl              0.00     0.00  0.10  3.30     0.67    43.87    13.10     0.00    1.29   0.92   0.31
sdbl3             0.00     0.00  0.10  3.30     0.67    43.87    13.10     0.00    1.29   0.92   0.31
sdbm              0.00     0.00  0.30  2.43     5.60    29.40    12.80     0.00    1.50   0.84   0.23
sdbm3             0.00     0.00  0.30  2.43     5.60    29.40    12.80     0.00    1.50   0.84   0.23
sdbn              0.00     0.00  0.23  2.37     5.40    28.93    13.21     0.00    1.44   1.32   0.34
sdbn3             0.00     0.00  0.23  2.37     5.40    28.93    13.21     0.00    1.44   1.32   0.34
sdbo              0.00     0.00  0.13  4.23     1.67    32.20     7.76     0.00    0.71   0.57   0.25
sdbo3             0.00     0.00  0.13  4.23     1.67    32.20     7.76     0.00    0.71   0.57   0.25
sdbp              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdbq              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdbr              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdbs              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdbt              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdbu              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdbv              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdbw              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdbx              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdby              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdbz              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdca              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdcb              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdcc              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdcd              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-0              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
VxVM10            0.00     0.00 14.23 273.80   326.13  2795.80    10.84     0.26    0.90   0.41  11.95

Time: 07:15:08 PM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           0.02    0.00    2.88    1.01    0.00   96.09

