Linux 2.6.18-164.el5 (redhat1.vxindia.veritas.com) 	07/10/2010 	_x86_64_	(1 CPU)

01:40:01 PM     CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest     %idle
01:49:21 PM     all      0.20     34.40     18.66     46.64      0.00      0.00      0.10      0.00      0.00
01:49:21 PM       0      0.20     34.40     18.66     46.64      0.00      0.00      0.10      0.00      0.00
01:49:31 PM     all      0.10     42.87     23.86     32.96      0.00      0.10      0.10      0.00      0.00
01:49:31 PM       0      0.10     42.87     23.86     32.96      0.00      0.10      0.10      0.00      0.00
01:49:41 PM     all      0.10     38.51     22.47     38.92      0.00      0.00      0.00      0.00      0.00
01:49:41 PM       0      0.10     38.51     22.47     38.92      0.00      0.00      0.00      0.00      0.00
01:49:51 PM     all      0.20     43.32     24.09     32.39      0.00      0.00      0.00      0.00      0.00
01:49:51 PM       0      0.20     43.32     24.09     32.39      0.00      0.00      0.00      0.00      0.00
01:50:01 PM     all      1.60     38.48     23.55     36.17      0.00      0.00      0.20      0.00      0.00
01:50:01 PM       0      1.60     38.48     23.55     36.17      0.00      0.00      0.20      0.00      0.00
01:50:11 PM     all      0.10     34.47     19.50     45.82      0.00      0.10      0.00      0.00      0.00
01:50:11 PM       0      0.10     34.47     19.50     45.82      0.00      0.10      0.00      0.00      0.00
01:50:21 PM     all      0.10     33.53     19.34     46.93      0.00      0.00      0.10      0.00      0.00
01:50:21 PM       0      0.10     33.53     19.34     46.93      0.00      0.00      0.10      0.00      0.00
01:50:31 PM     all      0.10     34.04     20.18     45.38      0.00      0.10      0.20      0.00      0.00
01:50:31 PM       0      0.10     34.04     20.18     45.38      0.00      0.10      0.20      0.00      0.00
01:50:41 PM     all      0.10     34.24     20.38     45.18      0.00      0.00      0.10      0.00      0.00
01:50:41 PM       0      0.10     34.24     20.38     45.18      0.00      0.00      0.10      0.00      0.00
01:50:51 PM     all      0.20     34.34     19.18     46.08      0.00      0.10      0.10      0.00      0.00
01:50:51 PM       0      0.20     34.34     19.18     46.08      0.00      0.10      0.10      0.00      0.00
01:51:01 PM     all      0.10     37.51     21.36     40.92      0.00      0.00      0.10      0.00      0.00
01:51:01 PM       0      0.10     37.51     21.36     40.92      0.00      0.00      0.10      0.00      0.00
01:51:11 PM     all      0.10     35.61     19.32     44.87      0.00      0.10      0.00      0.00      0.00
01:51:11 PM       0      0.10     35.61     19.32     44.87      0.00      0.10      0.00      0.00      0.00
01:51:21 PM     all      0.20     43.13     24.37     32.10      0.00      0.10      0.10      0.00      0.00
01:51:21 PM       0      0.20     43.13     24.37     32.10      0.00      0.10      0.10      0.00      0.00
01:51:31 PM     all      0.10     47.34     26.54     25.82      0.00      0.00      0.20      0.00      0.00
01:51:31 PM       0      0.10     47.34     26.54     25.82      0.00      0.00      0.20      0.00      0.00
01:51:41 PM     all      0.20     33.23     19.12     47.35      0.00      0.10      0.00      0.00      0.00
01:51:41 PM       0      0.20     33.23     19.12     47.35      0.00      0.10      0.00      0.00      0.00
01:51:51 PM     all      0.10     33.47     19.20     47.14      0.00      0.00      0.10      0.00      0.00
01:51:51 PM       0      0.10     33.47     19.20     47.14      0.00      0.00      0.10      0.00      0.00
01:52:01 PM     all      0.10     35.83     20.95     42.91      0.00      0.10      0.10      0.00      0.00
01:52:01 PM       0      0.10     35.83     20.95     42.91      0.00      0.10      0.10      0.00      0.00
01:52:11 PM     all      0.20     32.50     18.66     48.65      0.00      0.00      0.00      0.00      0.00
01:52:11 PM       0      0.20     32.50     18.66     48.65      0.00      0.00      0.00      0.00      0.00
01:52:21 PM     all      0.20     34.43     19.12     45.95      0.00      0.10      0.20      0.00      0.00
01:52:21 PM       0      0.20     34.43     19.12     45.95      0.00      0.10      0.20      0.00      0.00
01:52:31 PM     all      0.20     38.04     21.59     40.16      0.00      0.00      0.00      0.00      0.00
01:52:31 PM       0      0.20     38.04     21.59     40.16      0.00      0.00      0.00      0.00      0.00
01:52:41 PM     all      0.20     38.20     21.25     40.14      0.00      0.10      0.10      0.00      0.00
01:52:41 PM       0      0.20     38.20     21.25     40.14      0.00      0.10      0.10      0.00      0.00
01:52:51 PM     all      0.00     39.02     22.07     38.72      0.00      0.10      0.10      0.00      0.00
01:52:51 PM       0      0.00     39.02     22.07     38.72      0.00      0.10      0.10      0.00      0.00
01:53:01 PM     all      0.20     49.08     28.47     22.24      0.00      0.00      0.00      0.00      0.00
01:53:01 PM       0      0.20     49.08     28.47     22.24      0.00      0.00      0.00      0.00      0.00
01:53:11 PM     all      0.10     33.73     18.47     47.49      0.00      0.10      0.10      0.00      0.00
01:53:11 PM       0      0.10     33.73     18.47     47.49      0.00      0.10      0.10      0.00      0.00
01:53:21 PM     all      0.10     33.67     18.94     47.19      0.00      0.00      0.10      0.00      0.00
01:53:21 PM       0      0.10     33.67     18.94     47.19      0.00      0.00      0.10      0.00      0.00
01:53:31 PM     all      0.20     35.79     21.57     42.44      0.00      0.00      0.00      0.00      0.00
01:53:31 PM       0      0.20     35.79     21.57     42.44      0.00      0.00      0.00      0.00      0.00
01:53:41 PM     all      0.20     32.67     18.98     47.75      0.00      0.20      0.20      0.00      0.00
01:53:41 PM       0      0.20     32.67     18.98     47.75      0.00      0.20      0.20      0.00      0.00
01:53:51 PM     all      0.20     33.33     18.92     47.55      0.00      0.00      0.00      0.00      0.00
01:53:51 PM       0      0.20     33.33     18.92     47.55      0.00      0.00      0.00      0.00      0.00
01:54:01 PM     all      0.20     38.10     21.37     40.32      0.00      0.00      0.00      0.00      0.00
01:54:01 PM       0      0.20     38.10     21.37     40.32      0.00      0.00      0.00      0.00      0.00

01:54:01 PM     CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest     %idle
01:54:11 PM     all      0.10     40.74     22.92     35.94      0.00      0.10      0.20      0.00      0.00
01:54:11 PM       0      0.10     40.74     22.92     35.94      0.00      0.10      0.20      0.00      0.00
01:54:21 PM     all      0.10     49.40     26.16     24.35      0.00      0.00      0.00      0.00      0.00
01:54:21 PM       0      0.10     49.40     26.16     24.35      0.00      0.00      0.00      0.00      0.00
01:54:31 PM     all      0.10     36.17     21.62     41.80      0.00      0.10      0.20      0.00      0.00
01:54:31 PM       0      0.10     36.17     21.62     41.80      0.00      0.10      0.20      0.00      0.00
01:54:41 PM     all      0.10     34.45     18.86     46.59      0.00      0.00      0.00      0.00      0.00
01:54:41 PM       0      0.10     34.45     18.86     46.59      0.00      0.00      0.00      0.00      0.00
01:54:51 PM     all      0.20     35.60     21.00     43.10      0.00      0.00      0.10      0.00      0.00
01:54:51 PM       0      0.20     35.60     21.00     43.10      0.00      0.00      0.10      0.00      0.00
01:55:01 PM     all      0.20     34.64     20.04     44.91      0.00      0.10      0.10      0.00      0.00
01:55:01 PM       0      0.20     34.64     20.04     44.91      0.00      0.10      0.10      0.00      0.00
01:55:11 PM     all      1.71     34.74     19.08     44.28      0.00      0.10      0.10      0.00      0.00
01:55:11 PM       0      1.71     34.74     19.08     44.28      0.00      0.10      0.10      0.00      0.00
01:55:21 PM     all      0.20     36.74     20.42     42.64      0.00      0.00      0.00      0.00      0.00
01:55:21 PM       0      0.20     36.74     20.42     42.64      0.00      0.00      0.00      0.00      0.00
01:55:31 PM     all      0.00     40.06     23.21     36.63      0.00      0.00      0.10      0.00      0.00
01:55:31 PM       0      0.00     40.06     23.21     36.63      0.00      0.00      0.10      0.00      0.00
01:55:41 PM     all      0.20     48.74     27.50     23.36      0.00      0.10      0.10      0.00      0.00
01:55:41 PM       0      0.20     48.74     27.50     23.36      0.00      0.10      0.10      0.00      0.00
01:55:51 PM     all      0.10     37.76     21.35     40.68      0.00      0.00      0.10      0.00      0.00
01:55:51 PM       0      0.10     37.76     21.35     40.68      0.00      0.00      0.10      0.00      0.00
01:56:01 PM     all      0.30     33.47     19.17     46.96      0.00      0.00      0.10      0.00      0.00
01:56:01 PM       0      0.30     33.47     19.17     46.96      0.00      0.00      0.10      0.00      0.00
01:56:11 PM     all      0.20     32.70     19.10     47.80      0.00      0.10      0.10      0.00      0.00
01:56:11 PM       0      0.20     32.70     19.10     47.80      0.00      0.10      0.10      0.00      0.00
01:56:21 PM     all      0.20     33.54     19.09     47.17      0.00      0.00      0.00      0.00      0.00
01:56:21 PM       0      0.20     33.54     19.09     47.17      0.00      0.00      0.00      0.00      0.00
01:56:31 PM     all      0.20     32.60     18.80     48.20      0.00      0.00      0.20      0.00      0.00
01:56:31 PM       0      0.20     32.60     18.80     48.20      0.00      0.00      0.20      0.00      0.00
01:56:41 PM     all      0.20     36.96     20.95     41.79      0.00      0.10      0.00      0.00      0.00
01:56:41 PM       0      0.20     36.96     20.95     41.79      0.00      0.10      0.00      0.00      0.00
01:56:51 PM     all      0.10     32.96     19.30     47.54      0.00      0.00      0.10      0.00      0.00
01:56:51 PM       0      0.10     32.96     19.30     47.54      0.00      0.00      0.10      0.00      0.00
01:57:01 PM     all      0.10     35.74     18.57     45.48      0.00      0.00      0.10      0.00      0.00
01:57:01 PM       0      0.10     35.74     18.57     45.48      0.00      0.00      0.10      0.00      0.00
01:57:11 PM     all      0.10     39.57     22.18     38.05      0.00      0.10      0.00      0.00      0.00
01:57:11 PM       0      0.10     39.57     22.18     38.05      0.00      0.10      0.00      0.00      0.00
01:57:21 PM     all      0.20     36.76     22.20     40.53      0.00      0.10      0.20      0.00      0.00
01:57:21 PM       0      0.20     36.76     22.20     40.53      0.00      0.10      0.20      0.00      0.00
01:57:31 PM     all      0.10     34.87     20.44     44.49      0.00      0.10      0.00      0.00      0.00
01:57:31 PM       0      0.10     34.87     20.44     44.49      0.00      0.10      0.00      0.00      0.00
01:57:41 PM     all      0.10     43.52     24.92     31.36      0.00      0.00      0.10      0.00      0.00
01:57:41 PM       0      0.10     43.52     24.92     31.36      0.00      0.00      0.10      0.00      0.00
01:57:51 PM     all      0.10     38.52     22.97     38.21      0.00      0.10      0.10      0.00      0.00
01:57:51 PM       0      0.10     38.52     22.97     38.21      0.00      0.10      0.10      0.00      0.00
01:58:01 PM     all      0.20     33.17     19.30     47.34      0.00      0.00      0.00      0.00      0.00
01:58:01 PM       0      0.20     33.17     19.30     47.34      0.00      0.00      0.00      0.00      0.00
01:58:11 PM     all      0.10     32.90     19.56     47.14      0.00      0.10      0.20      0.00      0.00
01:58:11 PM       0      0.10     32.90     19.56     47.14      0.00      0.10      0.20      0.00      0.00
01:58:21 PM     all      0.20     33.30     19.68     46.72      0.00      0.00      0.10      0.00      0.00
01:58:21 PM       0      0.20     33.30     19.68     46.72      0.00      0.00      0.10      0.00      0.00
01:58:31 PM     all      0.10     33.90     18.76     47.04      0.00      0.10      0.10      0.00      0.00
01:58:31 PM       0      0.10     33.90     18.76     47.04      0.00      0.10      0.10      0.00      0.00
01:58:41 PM     all      0.10     34.20     20.86     44.63      0.00      0.10      0.10      0.00      0.00
01:58:41 PM       0      0.10     34.20     20.86     44.63      0.00      0.10      0.10      0.00      0.00
01:58:51 PM     all      0.30     35.74     19.88     43.88      0.00      0.10      0.10      0.00      0.00
01:58:51 PM       0      0.30     35.74     19.88     43.88      0.00      0.10      0.10      0.00      0.00
01:59:01 PM     all      0.10     33.43     18.43     47.94      0.00      0.00      0.10      0.00      0.00
01:59:01 PM       0      0.10     33.43     18.43     47.94      0.00      0.00      0.10      0.00      0.00
01:59:11 PM     all      0.20     44.04     25.63     29.93      0.00      0.10      0.10      0.00      0.00
01:59:11 PM       0      0.20     44.04     25.63     29.93      0.00      0.10      0.10      0.00      0.00
01:59:21 PM     all      0.10     43.39     25.03     31.38      0.00      0.00      0.10      0.00      0.00
01:59:21 PM       0      0.10     43.39     25.03     31.38      0.00      0.00      0.10      0.00      0.00
01:59:31 PM     all      0.40     41.41     23.12     34.87      0.00      0.10      0.10      0.00      0.00
01:59:31 PM       0      0.40     41.41     23.12     34.87      0.00      0.10      0.10      0.00      0.00
01:59:41 PM     all      0.20     33.50     19.45     46.74      0.00      0.00      0.10      0.00      0.00
01:59:41 PM       0      0.20     33.50     19.45     46.74      0.00      0.00      0.10      0.00      0.00
01:59:51 PM     all      1.71     33.84     19.64     44.71      0.00      0.00      0.10      0.00      0.00
01:59:51 PM       0      1.71     33.84     19.64     44.71      0.00      0.00      0.10      0.00      0.00
02:00:01 PM     all      1.75     34.74     20.10     43.20      0.00      0.10      0.10      0.00      0.00
02:00:01 PM       0      1.75     34.74     20.10     43.20      0.00      0.10      0.10      0.00      0.00
02:00:11 PM     all      0.10     33.77     19.30     46.83      0.00      0.00      0.00      0.00      0.00
02:00:11 PM       0      0.10     33.77     19.30     46.83      0.00      0.00      0.00      0.00      0.00
02:00:21 PM     all      0.20     36.08     21.71     41.81      0.00      0.10      0.10      0.00      0.00
02:00:21 PM       0      0.20     36.08     21.71     41.81      0.00      0.10      0.10      0.00      0.00
02:00:31 PM     all      0.10     35.52     19.07     45.11      0.00      0.10      0.10      0.00      0.00
02:00:31 PM       0      0.10     35.52     19.07     45.11      0.00      0.10      0.10      0.00      0.00
02:00:41 PM     all      0.20     41.17     24.72     33.80      0.00      0.00      0.10      0.00      0.00
02:00:41 PM       0      0.20     41.17     24.72     33.80      0.00      0.00      0.10      0.00      0.00
02:00:51 PM     all      0.20     44.99     26.35     28.36      0.00      0.00      0.10      0.00      0.00
02:00:51 PM       0      0.20     44.99     26.35     28.36      0.00      0.00      0.10      0.00      0.00
02:01:01 PM     all      0.20     39.16     23.80     36.65      0.00      0.10      0.10      0.00      0.00
02:01:01 PM       0      0.20     39.16     23.80     36.65      0.00      0.10      0.10      0.00      0.00
02:01:11 PM     all      0.10     34.13     19.40     46.16      0.00      0.10      0.10      0.00      0.00
02:01:11 PM       0      0.10     34.13     19.40     46.16      0.00      0.10      0.10      0.00      0.00
02:01:21 PM     all      0.20     32.96     19.31     47.42      0.00      0.00      0.10      0.00      0.00
02:01:21 PM       0      0.20     32.96     19.31     47.42      0.00      0.00      0.10      0.00      0.00
02:01:31 PM     all      0.20     34.41     20.04     45.34      0.00      0.00      0.00      0.00      0.00
02:01:31 PM       0      0.20     34.41     20.04     45.34      0.00      0.00      0.00      0.00      0.00
02:01:41 PM     all      0.10     36.13     21.19     42.37      0.00      0.10      0.10      0.00      0.00
02:01:41 PM       0      0.10     36.13     21.19     42.37      0.00      0.10      0.10      0.00      0.00
02:01:51 PM     all      0.10     34.78     19.35     45.67      0.00      0.00      0.10      0.00      0.00
02:01:51 PM       0      0.10     34.78     19.35     45.67      0.00      0.00      0.10      0.00      0.00
02:02:01 PM     all      0.20     32.83     19.08     47.79      0.00      0.10      0.00      0.00      0.00
02:02:01 PM       0      0.20     32.83     19.08     47.79      0.00      0.10      0.00      0.00      0.00
02:02:11 PM     all      0.20     39.40     22.00     38.20      0.00      0.00      0.20      0.00      0.00
