
    r     b     w      avm    free   re   at    pi   po    fr   de    sr     in   syscalls    cs  us sy id
    2     0     0   141201  650501  220   79     0    0     0    0     0   1136   8588   498  12  2 86
    2     0     0   141201  650340  203   74     0    0     0    0     0   1127   8049   477  17  1 82
    2     0     0   141201  650671  200   81     0    0     0    0     0   1137   8062   493  15  1 84
    1     0     0   128712  650340  215   75     0    0     0    0     0   1132   8394   474  12  1 87
    1     0     0   128712  650340  212   71     0    0     0    0     0   1109   8017   447  16  1 83
    1     0     0   128712  650671  196   68     0    0     0    0     0   1093   7520   416  18  2 80
    1     0     0   128712  650340  193   79     0    0     0    0     0   1099   7627   420  13  2 85
    1     0     0   128712  650671  197   75     0    0     0    0     0   1079   7802   400  18  1 81
    1     0     0   128712  650340  184   72     0    0     0    0     0   1066   7350   381  16  1 83
    1     0     0   128712  649675  230   90     0    0     0    0     0   1068   8459   398  13  2 85
    1     0     0   128712  650344  213   86     0    0     0    0     0   1055   7928   379  19  1 80
    1     0     0   128712  650344  211   82     0    0     0    0     0   1041   7824   367  16  2 82
    1     0     0   128712  650340  235   94     0    0     0    0     0   1044   8546   388  13  1 86
    2     0     0   152117  650348  231   91     0    0     0    0     0   1039   8247   374  18  0 82

    r     b     w      avm    free   re   at    pi   po    fr   de    sr     in   syscalls    cs  us sy id
    2     0     0   152117  650340  215   86     0    0     0    0     0   1034   7752   356  17  2 81
    2     0     0   152117  650658  223   93     0    0     0    0     0   1038   7887   368  13  2 85
    2     0     0   152117  650340  219   90     0    0     0    0     0   1037   8132   359  19  2 79
    2     0     0   152117  649631  218   88     0    0     0    0     0   1032   7830   351  14  0 86
    2     0     0   152117  650353  204   84     0    0     0    0     0   1038   7415   336  14  3 83
    2     0     0   152117  650340  215   91     0    0     0    0     0   1044   8102   358  16  1 83
    2     0     0   152117  650624  198   85     0    0     0    0     0   1039   7598   360  17  1 82
    2     0     0   152117  650340  185   80     0    0     0    0     0   1029   7179   348  14  1 85
    2     0     0   152117  649761  214   92     0    0     0    0     0   1039   8100   372  17  1 82
    2     0     0   161515  650340  214   90     0    0     0    0     0   1031   7814   357  16  1 83
    2     0     0   161515  650340  201   86     0    0     0    0     0   1030   7405   343  13  3 84
    2     0     0   161515  650344  226   79     0    0     0    0     0   1038   7877   359  18  1 81
    2     0     0   161515  650311  227   75     0    0     0    0     0   1040   7896   371  16  2 82
    2     0     0   161515  650625  240   81     0    0     0    0     0   1050   8347   391  13  2 85
    2     0     0   161515  650344  218   77     0    0     0    0     0   1047   7787   372  17  1 82
    2     0     0   161515  649648  214   78     0    0     0    0     0   1043   7545   358  17  1 82
    2     0     0   161515  650348  228   92     0    0     0    0     0   1038   7879   379  13  3 84
    2     0     0   161515  650344  230   82     0    0     0    0     0   1036   8041   370  15  2 83
    2     0     0   161515  650357  222   75     0    0     0    0     0   1030   7649   353  18  1 81
    2     0     0   141899  650340  234   79     0    0     0    0     0   1038   7884   374  13  1 86

    r     b     w      avm    free   re   at    pi   po    fr   de    sr     in   syscalls    cs  us sy id
    2     0     0   141899  650353  242   72     0    0     0    0     0   1036   8127   367  18  2 80
