CPU minf mjf xcal  intr ithr  csw icsw migr smtx  srw syscl  usr sys  wt idl
 61    0   0    0     2    0    0    0    0    0    0     0    0   0   0 100
 62    0   0    5    19    0   14    0    1    0    0     0    0   4   0  96
 63    0   0    9    44    9   38    0    1    0    0    60    0   0   0 100
Sun Jul 11 16:16:55 IST 2010
CPU minf mjf xcal  intr ithr  csw icsw migr smtx  srw syscl  usr sys  wt idl
  0    0   0   31   214    3   21    0    1    0    0     8    0   1   0  98
  1   40   0  109    52    1   86    3    8    9    5  2600   31   1   0  68
  2    0   0   90    98    0  189    0    1   27    0  1400    2   2   0  96
  3    0   0    0     3    0    2    0    0    0    0     1    0   0   0 100
  4    0   0    2     9    0   16    0    1    0    1     7    0   0   0 100
  5    0   0    7    31    6   36    0    1    0    0    19    0   0   0 100
  6    8   0   49    10    0   13    0    1    1    0    15    0   0   0 100
  7    0   0    1     5    0    6    0    0    0    0    27    0   0   0 100
  8    0   0    0     2    0    0    0    0    0    0     0    0   0   0 100
  9    0   0    0     2    0    1    0    0    0    0     0    0   0   0 100
 10    0   0 15477    90    2  154    5    1    6    0  1040   15  57   0  29
 11   25   0  110    24    0   44    0    1    5    0   354    1   1   0  99
 12    0   0    1     5    0    3    0    1    0    0     0    0   0   0 100
 13    0   0    0     2    0    0    0    0    0    0     0    0   0   0 100
 14    0   0   47     3    0    1    0    0    0    0     0    0   0   0 100
 15    0   0    0     2    0    0    0    0    0    0     0    0   0   0 100
 16    0   0    0     2    0    1    0    0    0    0     0    0   0   0 100
 17    0   0    1     4    0    1    0    0    0    0     0    0   0   0 100
 18    0   0    1    38    0   68    0    0    0    0     0    0   0   0 100
 19   32   0  385   156   34  212    0    6    4    4   332    1   1   0  98
 20   46   0  281    60    1  109    0    2    4    6   447    1   1   0  98
 21   26   0   89    16    0   26    0    1    3    0    36    0   0   0 100
 22    0   0    3    13    1    7    0    0    0    0     1    0   0   0 100
 23    0   0  173     5    0    4    0    0    0    0    13    0   0   0 100
 24   26   0  343   197    0  373    6    0   40    0  5437   83   5   0  11
 25    0   0    0     3    0    1    0    0    0    0     0    0   0   0 100
 26    0   0    1     9    2    5    0    1    0    0     2    0   0   0 100
 27    0   0    2     5    0    1    0    0    0    0     0    0   0   0 100
 28    0   0    8    27    5   13    0    1    0    0   128    1   0   0  99
 29    0   0    2    12    5    1    0    0    0    0     0    0   0   0 100
 30    0   0    0     2    0    0    0    0    0    0     0    0   0   0 100
 31    0   0    0     2    0    1    0    0    0    0     0    0   0   0 100
 32    0   0    5    19    0   14    0    1    0    0     0    0   0   0 100
 33    0   0    4    11    0   13    0    1    0    0    36    0   0   0  99
 34    0   0  166   194  172   53    0    3    1    0    66    0   1   0  99
 35   21   0   92    28    4   39    0    1    1    0    23    0   0   0  99
 36    0   0    7    21    0   11    0    1    0    0     0    0   0   0 100
 37  129   0  201   168   39  212    0   10    7    0  1103    1   2   0  96
 38    0   0  360    12    5    4    0    1    0    0     2    0   0   0 100
 39    0   0    3    12    0   20    0    1    0    0     7    0   0   0 100
 40   24   0   90     2    0    1    0    0    1    0    22    0   0   0 100
 41    0   0   10    13    0   21    0    0    0    0     0    0   0   0 100
 42    0   0    6    17    0   38    0    0    0    4    20    0   0   0 100
 43    9   0   54    35   11   34    0    3    2    0    37    0   0   0  99
